timestamp,symbol,side,qty,price,pnl,equity
2025-10-05 21:19:26,ETH/USD,SELL,1,3735.56,-48.45,1000.0
2025-10-05 21:19:28,ETH/USD,SELL,1,3753.21,-66.1,1000.0
2025-10-05 21:19:30,ETH/USD,SELL,1,3740.16,-53.05,1000.0
2025-10-05 21:19:32,ETH/USD,SELL,1,3747.12,-60.01,1000.0
2025-10-05 21:19:34,ETH/USD,SELL,1,3742.7,-55.59,1000.0
2025-10-05 21:19:36,ETH/USD,SELL,1,3757.9,-70.79,1000.0
2025-10-05 21:20:44,ETH/USD,BUY,1,3741.25,-43.84,1000.0
2025-10-05 21:21:48,ETH/USD,BUY,1,3740.18,-47.37,1000.0
2025-10-05 21:21:50,ETH/USD,BUY,1,3737.76,-49.79,1000.0
2025-10-05 21:21:52,ETH/USD,BUY,1,3726.91,-60.64,1000.0
2025-10-05 21:21:54,ETH/USD,BUY,1,3737.65,-49.9,1000.0
2025-10-05 21:21:56,ETH/USD,BUY,1,3719.92,-67.63,1000.0
2025-10-05 21:21:59,ETH/USD,BUY,1,3702.05,-85.5,1000.0
2025-10-05 21:22:01,ETH/USD,BUY,1,3697.53,-90.02,1000.0
2025-10-05 21:22:03,ETH/USD,BUY,1,3688.1,-99.45,1000.0
2025-10-05 21:22:39,BTC/USD,BUY,1,33291.8,-141.39,1000.0
2025-10-05 21:22:41,BTC/USD,BUY,1,33312.73,-120.46,1000.0
2025-10-05 21:22:43,BTC/USD,BUY,1,33287.88,-145.31,1000.0
2025-10-05 21:22:45,BTC/USD,BUY,1,33308.42,-124.77,1000.0
2025-10-05 21:22:47,BTC/USD,BUY,1,33377.26,-55.93,1000.0
2025-10-05 21:22:50,BTC/USD,BUY,1,33467.74,34.55,1000.0
2025-10-05 21:22:52,BTC/USD,BUY,1,33384.45,-48.74,1000.0
2025-10-05 21:22:54,BTC/USD,BUY,1,33261.9,-171.29,1000.0
2025-10-05 21:22:56,BTC/USD,BUY,1,33211.32,-221.87,1000.0
2025-10-05 21:22:58,BTC/USD,BUY,1,33144.24,-288.95,1000.0
2025-10-05 21:22:58,ETH/USD,SELL,1,3709.6,-29.16,1000.0
2025-10-05 21:23:00,BTC/USD,BUY,1,33115.37,-317.82,1000.0
2025-10-05 21:23:00,ETH/USD,SELL,1,3702.59,-22.15,1000.0
2025-10-05 21:23:02,BTC/USD,BUY,1,33200.85,-232.34,1000.0
2025-10-05 21:23:02,ETH/USD,SELL,1,3713.16,-32.72,1000.0
2025-10-05 21:23:04,BTC/USD,BUY,1,33320.94,-112.25,1000.0
2025-10-05 21:23:04,ETH/USD,SELL,1,3705.53,-25.09,1000.0
2025-10-05 21:23:07,BTC/USD,BUY,1,33219.47,-213.72,1000.0
2025-10-05 21:23:07,ETH/USD,SELL,1,3714.81,-34.37,1000.0
2025-10-05 21:23:09,BTC/USD,BUY,1,33222.86,-210.33,1000.0
2025-10-05 21:23:11,BTC/USD,BUY,1,33380.5,-52.69,1000.0
2025-10-05 21:23:13,BTC/USD,BUY,1,33454.21,21.02,1000.0
2025-10-05 21:23:15,BTC/USD,BUY,1,33343.33,-89.86,1000.0
2025-10-05 21:23:17,BTC/USD,BUY,1,33284.16,-149.03,1000.0
2025-10-05 21:23:19,BTC/USD,BUY,1,33135.14,-298.05,1000.0
2025-10-05 21:23:21,BTC/USD,BUY,1,32979.67,-453.52,1000.0
2025-10-05 21:23:21,ETH/USD,SELL,1,3722.83,-42.39,1000.0
2025-10-05 21:23:24,BTC/USD,BUY,1,33132.69,-300.5,1000.0
2025-10-05 21:23:26,BTC/USD,BUY,1,33244.95,-188.24,1000.0
